_id_xgb,Fecha,Prediction_xgb,Token,Prediction_LSTM,_id_lstm,Real_price,Prediction_Ensemble
670e950ada472f0d69dab16b,2024-08-01 00:00:00,65764.64692989187,BTC,65316.779930184595,66fbb840c0bc76aa650021de,64557.25433011547,65540.71343003823
670e950ada472f0d69dab16c,2024-08-01 01:00:00,66494.22373127009,BTC,65279.3819896536,66fbb840c0bc76aa650021df,64225.21498097274,65886.80286046184
670e950ada472f0d69dab16d,2024-08-01 02:00:00,65126.93047908791,BTC,65242.10569482888,66fbb840c0bc76aa650021e0,63995.5481700512,65184.5180869584
670e950ada472f0d69dab16e,2024-08-01 03:00:00,67482.17107582353,BTC,65204.96783618248,66fbb840c0bc76aa650021e1,63975.407882517095,66343.569456003
670e950ada472f0d69dab16f,2024-08-01 04:00:00,65595.86247203933,BTC,65167.969388976206,66fbb840c0bc76aa650021e2,63665.65422971971,65381.91593050776
670e950ada472f0d69dab170,2024-08-01 05:00:00,64631.783271666936,BTC,65131.10394380663,66fbb840c0bc76aa650021e3,64276.8381122637,64881.443607736786
670e950ada472f0d69dab171,2024-08-01 06:00:00,64832.11563637122,BTC,65094.33341235418,66fbb840c0bc76aa650021e4,64282.09870582725,64963.2245243627
670e950ada472f0d69dab172,2024-08-01 07:00:00,63405.15863615608,BTC,65057.6909119981,66fbb840c0bc76aa650021e5,64337.26590406635,64231.42477407709
670e950ada472f0d69dab173,2024-08-01 08:00:00,63567.42833312646,BTC,65021.183093285064,66fbb840c0bc76aa650021e6,64446.90398150028,64294.30571320576
670e950ada472f0d69dab174,2024-08-01 09:00:00,64411.949263022594,BTC,64984.81072298921,66fbb840c0bc76aa650021e7,64454.237483353005,64698.3799930059
670e950ada472f0d69dab175,2024-08-01 10:00:00,65088.65391633465,BTC,64948.587379125995,66fbb840c0bc76aa650021e8,64484.89718320179,65018.62064773032
670e950ada472f0d69dab176,2024-08-01 11:00:00,62441.1316609833,BTC,64912.51893874833,66fbb840c0bc76aa650021e9,64616.95228407517,63676.82529986581
670e950ada472f0d69dab177,2024-08-01 12:00:00,62811.71458879532,BTC,64876.62208704341,66fbb840c0bc76aa650021ea,64862.22838510767,63844.16833791937
670e950ada472f0d69dab178,2024-08-01 13:00:00,62968.42802791102,BTC,64840.88838412339,66fbb840c0bc76aa650021eb,64706.773129719,63904.65820601721
670e950ada472f0d69dab179,2024-08-01 14:00:00,61940.471644528094,BTC,64805.29128240621,66fbb840c0bc76aa650021ec,64079.707256610505,63372.88146346715
670e950ada472f0d69dab17a,2024-08-01 15:00:00,64201.52650313143,BTC,64769.84551782101,66fbb840c0bc76aa650021ed,62863.878247436274,64485.686010476216
670e950ada472f0d69dab17b,2024-08-01 16:00:00,65771.50319114908,BTC,64734.542596460284,66fbb840c0bc76aa650021ee,62882.98402640596,65253.02289380468
670e950ada472f0d69dab17c,2024-08-01 17:00:00,63553.97796051307,BTC,64699.40444885593,66fbb840c0bc76aa650021ef,62961.18279326041,64126.691204684495
670e950ada472f0d69dab17d,2024-08-01 18:00:00,63376.976914441424,BTC,64664.45546247168,66fbb840c0bc76aa650021f0,62827.83795667768,64020.71618845655
670e950ada472f0d69dab17e,2024-08-01 19:00:00,60509.33053526225,BTC,64629.677158934195,66fbb840c0bc76aa650021f1,63361.15350295648,62569.503847098225
670e950ada472f0d69dab17f,2024-08-01 20:00:00,61371.34079738359,BTC,64595.074406444015,66fbb840c0bc76aa650021f2,64565.79883450374,62983.207601913804
670e950ada472f0d69dab180,2024-08-01 21:00:00,61947.60662287593,BTC,64560.64683378306,66fbb840c0bc76aa650021f3,64865.03638930916,63254.126728329495
670e950ada472f0d69dab181,2024-08-01 22:00:00,60761.581757935135,BTC,64526.38686200953,66fbb840c0bc76aa650021f4,65295.98631400896,62643.98430997234
670e950ada472f0d69dab182,2024-08-01 23:00:00,61855.10998182091,BTC,64492.30687872027,66fbb840c0bc76aa650021f5,65361.28985661052,63173.70843027059
